_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,address,dist_to_marina_bay,latitude,longitude,postal_code,nearest_station_0,dist_to_station_0
143420,390000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,8.0,82.0,56.083333333333336,"560, Ang Mo Kio Avenue 10",9.53,1.37081626777721,103.859192334256,560560,Ang Mo Kio MRT,1.08
143421,345000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,68.0,57.0,"541, Ang Mo Kio Avenue 10",9.89,1.37392239168826,103.855621371068,560541,Ang Mo Kio MRT,0.81
143422,355000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,5.0,67.0,53.416666666666664,"211, Ang Mo Kio Avenue 3",9.59,1.369196965617,103.841666636086,560211,Mayflower MRT,0.62
143423,338000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,67.0,52.333333333333336,"213, Ang Mo Kio Avenue 3",9.45,1.36776947218047,103.841255432522,560213,Mayflower MRT,0.66
143424,410000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,8.0,81.0,53.333333333333336,"212, Ang Mo Kio Avenue 3",9.55,1.36880359418469,103.841618072603,560212,Mayflower MRT,0.63
143425,398000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,5.0,73.0,54.333333333333336,"346, Ang Mo Kio Avenue 3",9.2,1.36709586875167,103.84966230288,560346,Ang Mo Kio MRT,0.31
143426,367000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,5.0,67.0,53.75,"232, Ang Mo Kio Avenue 3",9.63,1.36834606813391,103.837196046409,560232,Mayflower MRT,0.35
143427,378000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,8.0,67.0,54.083333333333336,"230, Ang Mo Kio Avenue 3",9.66,1.36885444352138,103.837896404895,560230,Mayflower MRT,0.32
143428,408000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,8.0,82.0,54.833333333333336,"120, Ang Mo Kio Avenue 3",9.62,1.37004739686133,103.844594754874,560120,Ang Mo Kio MRT,0.55
143429,405000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,11.0,67.0,55.416666666666664,"570, Ang Mo Kio Avenue 3",9.42,1.3697435855576,103.856023138277,560570,Ang Mo Kio MRT,0.72
143430,448888.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,89.0,54.166666666666664,"103, Ang Mo Kio Avenue 3",9.85,1.37101657804604,103.839304839187,560103,Mayflower MRT,0.31
143431,390000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,5.0,67.0,53.416666666666664,"211, Ang Mo Kio Avenue 3",9.59,1.369196965617,103.841666636086,560211,Mayflower MRT,0.62
143432,380000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,5.0,73.0,54.083333333333336,"313, Ang Mo Kio Avenue 3",9.15,1.36664972640598,103.850133665442,560313,Ang Mo Kio MRT,0.37
143433,380000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,5.0,67.0,55.5,"585, Ang Mo Kio Avenue 3",9.55,1.37059756050933,103.852367040901,560585,Ang Mo Kio MRT,0.32
143434,375000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,5.0,67.0,55.333333333333336,"570, Ang Mo Kio Avenue 3",9.42,1.3697435855576,103.856023138277,560570,Ang Mo Kio MRT,0.72
143435,346000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,67.0,54.833333333333336,"121, Ang Mo Kio Avenue 3",9.6,1.36970563478325,103.843515981311,560121,Ang Mo Kio MRT,0.67
143436,388000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,5.0,67.0,55.333333333333336,"570, Ang Mo Kio Avenue 3",9.42,1.3697435855576,103.856023138277,560570,Ang Mo Kio MRT,0.72
143437,399000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,73.0,54.166666666666664,"301, Ang Mo Kio Avenue 3",9.3,1.36742112526427,103.845903587276,560301,Ang Mo Kio MRT,0.49
143438,346800.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,69.0,56.916666666666664,"163, Ang Mo Kio Avenue 4",10.15,1.37354853919927,103.838176471398,560163,Mayflower MRT,0.29
143439,375000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,8.0,68.0,57.0,"607, Ang Mo Kio Avenue 4",10.88,1.38046758670091,103.838816721629,560607,Yio Chu Kang MRT,0.7
143440,375000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,11.0,67.0,54.666666666666664,"110, Ang Mo Kio Avenue 4",9.84,1.37045937010888,103.837419259859,560110,Mayflower MRT,0.15
143441,388000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,5.0,82.0,57.833333333333336,"630, Ang Mo Kio Avenue 4",10.83,1.38054138917049,103.841068277331,560630,Yio Chu Kang MRT,0.45
143442,360000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,69.0,62.083333333333336,"172, Ang Mo Kio Avenue 4",10.32,1.37469423247424,103.836462867365,560172,Mayflower MRT,0.36
143443,350000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,5.0,68.0,57.416666666666664,"155, Ang Mo Kio Avenue 4",10.35,1.37587723828643,103.840067482919,560155,Mayflower MRT,0.62
143444,430000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,73.0,53.583333333333336,"256, Ang Mo Kio Avenue 4",9.9,1.37061517595951,103.83596769452,560256,Mayflower MRT,0.12
143445,360000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,67.0,57.833333333333336,"632, Ang Mo Kio Avenue 4",10.77,1.37999943101882,103.841407224475,560632,Yio Chu Kang MRT,0.44
143446,324500.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,68.0,57.166666666666664,"151, Ang Mo Kio Avenue 5",10.41,1.37671105271454,103.841168190659,560151,Yio Chu Kang MRT,0.7
143447,380000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,11.0,68.0,57.083333333333336,"151, Ang Mo Kio Avenue 5",10.41,1.37671105271454,103.841168190659,560151,Yio Chu Kang MRT,0.7
143448,386000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,8.0,68.0,57.333333333333336,"181, Ang Mo Kio Avenue 5",10.53,1.37679309896347,103.837142240849,560181,Mayflower MRT,0.59
143449,365000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,68.0,57.333333333333336,"181, Ang Mo Kio Avenue 5",10.53,1.37679309896347,103.837142240849,560181,Mayflower MRT,0.59
143450,338888.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,8.0,67.0,56.5,"603, Ang Mo Kio Avenue 5",10.93,1.38020079047279,103.83575571651,560603,Lentor MRT,0.59
143451,422888.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,11.0,81.0,56.5,"611, Ang Mo Kio Avenue 5",10.69,1.37829205312001,103.837251895809,560611,Mayflower MRT,0.76
143452,356000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,8.0,68.0,56.166666666666664,"538, Ang Mo Kio Avenue 5",10.09,1.37559336678106,103.853347801104,560538,Ang Mo Kio MRT,0.75
143453,355000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,5.0,68.0,57.333333333333336,"152, Ang Mo Kio Avenue 5",10.44,1.3766876256746,103.840159506601,560152,Mayflower MRT,0.7
143454,370800.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,11.0,67.0,55.083333333333336,"124, Ang Mo Kio Avenue 6",9.7,1.37088839089522,103.844764527974,560124,Ang Mo Kio MRT,0.54
143455,375000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,2.0,67.0,60.666666666666664,"513, Ang Mo Kio Avenue 8",9.81,1.37274887735559,103.850191392582,560513,Ang Mo Kio MRT,0.32
143456,405000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,8.0,82.0,56.583333333333336,"504, Ang Mo Kio Avenue 8",10.06,1.37482589458092,103.848956089557,560504,Ang Mo Kio MRT,0.55
143457,390000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,3.0,11.0,68.0,56.833333333333336,"625, Ang Mo Kio Avenue 9",11.01,1.38219867741921,103.841211533475,560625,Yio Chu Kang MRT,0.42
143458,735000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,8.0,88.0,88.75,"307B, Ang Mo Kio Avenue 1",9.16,1.36583937026389,103.844630828457,562307,Ang Mo Kio MRT,0.71
143459,480888.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,8.0,91.0,58.166666666666664,"337, Ang Mo Kio Avenue 1",8.75,1.36319555672393,103.851616001112,560337,Ang Mo Kio MRT,0.78
143460,470000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,8.0,92.0,55.916666666666664,"467, Ang Mo Kio Avenue 10",8.94,1.36539106633914,103.856803588706,560467,Ang Mo Kio MRT,0.95
143461,486500.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,11.0,92.0,55.666666666666664,"415, Ang Mo Kio Avenue 10",8.86,1.36445336562983,103.853655231224,560415,Ang Mo Kio MRT,0.76
143462,505000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,2.0,92.0,55.0,"438, Ang Mo Kio Avenue 10",9.14,1.3669708169506,103.853906591778,560438,Ang Mo Kio MRT,0.58
143463,505000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,11.0,92.0,55.0,"436, Ang Mo Kio Avenue 10",9.18,1.36734158552808,103.854041064261,560436,Ang Mo Kio MRT,0.58
143464,460000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,5.0,92.0,54.916666666666664,"428, Ang Mo Kio Avenue 3",9.35,1.36893906457102,103.854412288513,560428,Ang Mo Kio MRT,0.55
143465,440000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,5.0,92.0,54.75,"128, Ang Mo Kio Avenue 3",9.72,1.37083202800001,103.843546990613,560128,Ang Mo Kio MRT,0.68
143466,560000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,11.0,98.0,54.25,"301, Ang Mo Kio Avenue 3",9.3,1.36742112526427,103.845903587276,560301,Ang Mo Kio MRT,0.49
143467,545000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,11.0,92.0,54.833333333333336,"428, Ang Mo Kio Avenue 3",9.35,1.36893906457102,103.854412288513,560428,Ang Mo Kio MRT,0.55
143468,478000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,2.0,92.0,53.416666666666664,"326, Ang Mo Kio Avenue 3",9.23,1.36706933818888,103.847902498352,560326,Ang Mo Kio MRT,0.37
143469,570000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,5.0,98.0,54.0,"329, Ang Mo Kio Avenue 3",9.2,1.36659908629034,103.846874419073,560329,Ang Mo Kio MRT,0.47
143470,450000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,2.0,91.0,56.666666666666664,"612, Ang Mo Kio Avenue 4",10.72,1.37890791374409,103.838602654716,560612,Yio Chu Kang MRT,0.77
143471,483000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,8.0,90.0,54.416666666666664,"118, Ang Mo Kio Avenue 4",10.2,1.37329593649654,103.835475719134,560118,Mayflower MRT,0.24
143472,485000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,11.0,92.0,54.083333333333336,"113, Ang Mo Kio Avenue 4",10.03,1.37178518125527,103.835965663569,560113,Mayflower MRT,0.08
143473,518000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,11.0,91.0,56.5,"608, Ang Mo Kio Avenue 5",10.73,1.37858209980487,103.836760311526,560608,Mayflower MRT,0.79
143474,473000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,5.0,91.0,56.166666666666664,"533, Ang Mo Kio Avenue 5",9.94,1.37416923724326,103.853001920124,560533,Ang Mo Kio MRT,0.61
143475,466888.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,8.0,93.0,57.0,"154, Ang Mo Kio Avenue 5",10.36,1.37626067387977,103.841230957516,560154,Yio Chu Kang MRT,0.74
143476,490000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,5.0,91.0,56.583333333333336,"634, Ang Mo Kio Avenue 6",10.9,1.38158208102128,103.84327351566,560634,Yio Chu Kang MRT,0.19
143477,760000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,17.0,90.0,79.66666666666667,"700B, Ang Mo Kio Avenue 6",9.52,1.36941049804616,103.846059822142,562700,Ang Mo Kio MRT,0.39
143478,830000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,11.0,92.0,94.58333333333333,"260A, Ang Mo Kio Street 21",9.82,1.36928934819166,103.834131942869,561260,Mayflower MRT,0.36
143479,875000.0,2023,1,2023-01-01,North-East,Ang Mo Kio,4.0,17.0,92.0,94.5,"260A, Ang Mo Kio Street 21",9.82,1.36928934819166,103.834131942869,561260,Mayflower MRT,0.36
