_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude,nearest_station_0,dist_to_station_0
117578,500000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,2.0,110.0,80.91666666666667,15.9,1.38662658656793,103.760257710151,Bukit Panjang MRT,0.85
117577,603000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,11.0,110.0,80.91666666666667,15.9,1.38662658656793,103.760257710151,Bukit Panjang MRT,0.85
117576,552500.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,17.0,110.0,77.83333333333333,15.64,1.38761134448697,103.764588708773,Fajar LRT,0.78
117575,625000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,11.0,110.0,78.41666666666667,15.57,1.38340067966504,103.761236851817,Bukit Panjang MRT,0.49
117574,530000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,8.0,110.0,78.08333333333333,15.72,1.38625610118184,103.762201338577,Bukit Panjang MRT,0.81
117573,550000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,5.0,111.0,78.0,15.69,1.38691070954118,103.763310183378,Bukit Panjang MRT,0.9
117572,580000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,11.0,114.0,78.66666666666667,15.0,1.38722762877204,103.772790109806,Fajar LRT,0.36
117571,495000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,2.0,110.0,78.83333333333333,15.18,1.38879725090534,103.772126026054,Fajar LRT,0.49
117570,512000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,5.0,110.0,79.0,15.13,1.38889498981622,103.772905851405,Fajar LRT,0.53
117569,600000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,11.0,132.0,64.83333333333333,13.62,1.37219171423657,103.77484799254,Bangkit LRT,0.9
117568,550800.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,5.0,121.0,64.08333333333333,14.41,1.37720047788648,103.769852814329,Bangkit LRT,0.44
