_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude
150072,298000.0,2023,4,2023-04-01,North-East,Ang Mo Kio,2.0,8.0,44.0,53.75,0.0934960642709266,1.36622707120636,103.850085858983
152257,865000.0,2023,4,2023-04-01,North,Yishun,5.5,11.0,142.0,63.833333333333336,0.1596440890706894,1.41519092970513,103.832901692682
152256,780000.0,2023,4,2023-04-01,North,Yishun,5.5,11.0,142.0,62.166666666666664,0.1734349335490244,1.42601954522146,103.82993946372
152255,935000.0,2023,4,2023-04-01,North,Yishun,5.5,5.0,164.0,68.16666666666667,0.16352303920219313,1.42171348124463,103.83554529409
152254,892000.0,2023,4,2023-04-01,North,Yishun,5.5,2.0,169.0,68.33333333333333,0.17586387018172545,1.43611425409216,103.837605235958
152253,808000.0,2023,4,2023-04-01,North,Yishun,5.5,2.0,154.0,61.166666666666664,0.17270631237513578,1.43515573230958,103.839804271982
152252,790000.0,2023,4,2023-04-01,North,Yishun,5.5,5.0,142.0,64.25,0.16446617516081607,1.42955104737326,103.84243972426
152250,1051800.0,2023,4,2023-04-01,North,Yishun,5.5,5.0,181.0,68.16666666666667,0.15865578851534612,1.42201523201179,103.840714295544
152249,928888.88,2023,4,2023-04-01,North,Yishun,5.5,8.0,181.0,68.16666666666667,0.15648007476799308,1.42019986585643,103.841074643136
152248,660000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,127.0,63.916666666666664,0.15613192161052925,1.41558772597997,103.836810656417
152247,670000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,122.0,64.33333333333333,0.15714667987542263,1.41603095097186,103.836239123144
152246,640000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,127.0,63.916666666666664,0.15392922303639112,1.41354510226183,103.836970731273
152245,628888.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,123.0,64.25,0.16158806746612675,1.42170773456657,103.837474519148
152244,680000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,113.0,93.83333333333333,0.14942876188858945,1.41572235710803,103.843648447267
152243,638000.0,2023,4,2023-04-01,North,Yishun,5.0,14.0,112.0,91.58333333333333,0.165061934349771,1.43184054730221,103.844133465
152242,550000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,122.0,62.583333333333336,0.17526521435811837,1.43650813252856,103.838597770218
152241,568000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,121.0,61.166666666666664,0.1743469810902296,1.43407128728567,103.837079158243
152240,638000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,125.0,61.25,0.17500863036691894,1.43372181338636,103.836068035067
152239,600000.0,2023,4,2023-04-01,North,Yishun,5.0,5.0,121.0,60.916666666666664,0.1761192429724303,1.43154850634987,103.832784115425
152238,710000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,113.0,94.5,0.1563639361145044,1.42148524765995,103.842476163593
152237,728000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,136.0,70.91666666666667,0.16861664469845605,1.4323592253549,103.841097432704
152236,700000.0,2023,4,2023-04-01,North,Yishun,5.0,5.0,113.0,94.58333333333333,0.1563639361145044,1.42148524765995,103.842476163593
152235,682888.0,2023,4,2023-04-01,North,Yishun,5.0,14.0,113.0,91.83333333333333,0.1634871397761124,1.43059711114855,103.84446482342
152234,590000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,121.0,62.916666666666664,0.1651159808693563,1.4199655220838,103.832204393262
152233,603888.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,122.0,64.25,0.16802472582003447,1.43122983753347,103.840559963761
152232,650000.0,2023,4,2023-04-01,North,Yishun,5.0,11.0,122.0,64.25,0.16802472582003447,1.43122983753347,103.840559963761
152231,680000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,113.0,91.83333333333333,0.1634871397761124,1.43059711114855,103.84446482342
152230,685000.0,2023,4,2023-04-01,North,Yishun,5.0,11.0,113.0,91.83333333333333,0.1634871397761124,1.43059711114855,103.84446482342
152229,715000.0,2023,4,2023-04-01,North,Yishun,5.0,11.0,112.0,94.58333333333333,0.1553103416324797,1.42107254833692,103.843117058752
152228,648000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,112.0,94.58333333333333,0.15619726863193395,1.42104894176938,103.842206525185
152227,618000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,122.0,64.33333333333333,0.15532296269895562,1.4178225828294,103.839854472178
152226,648000.0,2023,4,2023-04-01,North,Yishun,5.0,11.0,112.0,91.0,0.15219962085219385,1.42207815400064,103.847233385196
152225,580000.0,2023,4,2023-04-01,North,Yishun,5.0,5.0,112.0,91.41666666666667,0.1509759572200653,1.4197951639605,103.846174058788
152224,540000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,103.0,64.58333333333333,0.1577988136914128,1.41454836310986,103.834104401466
152223,420000.0,2023,4,2023-04-01,North,Yishun,4.0,2.0,84.0,63.5,0.15567873839324187,1.41444167860568,103.83611779226
152222,535000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,104.0,64.25,0.15714667987542263,1.41603095097186,103.836239123144
152221,515000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,104.0,64.33333333333333,0.15714667987542263,1.41603095097186,103.836239123144
152220,500000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,104.0,63.833333333333336,0.15474816676029524,1.41473228652974,103.837338971817
