_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease
152187,555000.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,93.0,94.5
152186,540000.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,93.0,94.58333333333333
152185,570000.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,96.0,88.33333333333333
152184,520000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,105.0,64.83333333333333
152183,470000.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,105.0,60.916666666666664
152182,410000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,84.0,64.5
152181,408000.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,84.0,63.75
152180,465000.0,2023,4,2023-04-01,North,Yishun,4.0,2.0,92.0,88.41666666666667
152179,493000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,104.0,63.833333333333336
152178,418000.0,2023,4,2023-04-01,North,Yishun,4.0,2.0,84.0,61.083333333333336
152177,420000.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,84.0,61.0
152176,570000.0,2023,4,2023-04-01,North,Yishun,4.0,14.0,92.0,91.5
152175,415000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,84.0,61.166666666666664
152174,546000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,92.0,91.58333333333333
152173,465000.0,2023,4,2023-04-01,North,Yishun,4.0,2.0,105.0,64.41666666666667
152172,405000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,84.0,64.25
152171,415000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,84.0,64.5
152170,430000.0,2023,4,2023-04-01,North,Yishun,4.0,2.0,104.0,63.416666666666664
152169,475000.0,2023,4,2023-04-01,North,Yishun,4.0,2.0,93.0,60.333333333333336
152168,450000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,93.0,59.833333333333336
152167,580000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,93.0,94.58333333333333
152166,618000.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,93.0,94.58333333333333
152165,520000.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,93.0,94.58333333333333
152164,595000.0,2023,4,2023-04-01,North,Yishun,4.0,14.0,93.0,94.66666666666667
152163,495000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,104.0,63.333333333333336
152162,400000.0,2023,4,2023-04-01,North,Yishun,4.0,2.0,83.0,63.666666666666664
152161,555000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,93.0,94.58333333333333
152157,490000.0,2023,4,2023-04-01,North,Yishun,4.0,2.0,93.0,94.66666666666667
152156,424000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,83.0,63.5
152155,490000.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,106.0,68.25
152154,504231.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,104.0,63.5
152153,545000.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,93.0,94.66666666666667
152152,435000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,83.0,63.5
152151,418000.0,2023,4,2023-04-01,North,Yishun,4.0,5.0,84.0,62.416666666666664
152150,485000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,104.0,63.75
152149,665000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,92.0,89.5
152148,710000.0,2023,4,2023-04-01,North,Yishun,4.0,14.0,92.0,89.5
152147,514000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,92.0,91.66666666666667
152146,408000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,84.0,64.41666666666667
152145,525000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,92.0,88.33333333333333
152144,525000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,93.0,89.33333333333333
152143,425000.0,2023,4,2023-04-01,North,Yishun,3.0,8.0,74.0,63.916666666666664
152142,390000.0,2023,4,2023-04-01,North,Yishun,3.0,11.0,73.0,64.66666666666667
