_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude
152306,445000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,93.0,55.75,0.09772812141893494,1.37447378519738,103.854100515826
152307,453000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,92.0,55.5,0.08594232968069915,1.36539106633914,103.856803588706
152308,580000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,98.0,53.75,0.09707951926489633,1.36659908629034,103.846874419073
152309,470000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,92.0,55.083333333333336,0.09309318925322474,1.37056143999067,103.854823102785
152310,530000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,98.0,54.75,0.10656989219559643,1.37101536386003,103.841800323712
152311,450000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,11.0,92.0,53.416666666666664,0.10839065342713017,1.36856103572357,103.837525234344
152312,520000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,98.0,53.833333333333336,0.09878448478402468,1.36708983179046,103.845660199054
152313,500000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,91.0,52.916666666666664,0.10267982344921833,1.36856005913566,103.843235087734
152314,506888.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,11.0,93.0,57.083333333333336,0.11290257702319284,1.37549519574964,103.839947470774
152315,530000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,97.0,53.25,0.11287056992001365,1.37020344042146,103.834687722549
152316,560000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,107.0,69.0,0.11857447542921373,1.37925113811966,103.838031514738
152332,965000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,23.0,93.0,94.83333333333333,0.09472348277538312,1.37122178516983,103.853853154442
152333,980000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,32.0,93.0,94.83333333333333,0.09634732670470347,1.37093324079314,103.851940766136
152334,940000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,23.0,93.0,94.83333333333333,0.09556099538467477,1.37118642598512,103.852980282648
152335,928000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,93.0,94.75,0.09634732670470347,1.37093324079314,103.851940766136
152259,300000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,2.0,8.0,45.0,61.75,0.1155862171567994,1.37469423247424,103.836462867365
152336,690000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,2.0,123.0,53.25,0.09732980965001814,1.36572552222846,103.845750564626
152260,330000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,2.0,68.0,56.75,0.09719619421153647,1.37529376778898,103.855452425625
152261,400000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,8.0,67.0,54.75,0.09107833228390705,1.36807652285135,103.854353042615
152317,570000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,5.0,108.0,72.16666666666667,0.11681876479284137,1.37751709681128,103.838053184066
152318,445000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,100.0,56.5,0.11556651520243588,1.37914986228487,103.84093819913
152319,571000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,11.0,97.0,53.25,0.11287056992001365,1.37020344042146,103.834687722549
152320,465000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,5.0,90.0,54.0,0.11517506941010414,1.37329593649654,103.835475719134
152321,450000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,91.0,56.916666666666664,0.11804092928253795,1.37690418077298,103.836218103538
152322,485000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,5.0,91.0,56.25,0.11566341740883801,1.38158208102128,103.84327351566
152323,475000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,91.0,56.166666666666664,0.11566341740883801,1.38158208102128,103.84327351566
152324,880000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,20.0,93.0,94.16666666666667,0.11251225737021264,1.36928934819166,103.834131942869
152325,951000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,14.0,93.0,94.16666666666667,0.11226475104657618,1.36886409962902,103.83395420063
152326,678888.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,90.0,82.0,0.09708353554211735,1.36502933267756,103.845300649183
152327,730000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,14.0,90.0,82.0,0.09708353554211735,1.36502933267756,103.845300649183
152328,770000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,29.0,95.0,77.5,0.09091555841918075,1.36442474404862,103.850864037677
152329,930000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,32.0,93.0,93.91666666666667,0.08718936333609495,1.36833017912554,103.858495667837
152330,980000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,29.0,93.0,94.83333333333333,0.09634732670470347,1.37093324079314,103.851940766136
152331,860000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,5.0,93.0,94.83333333333333,0.09472348277538312,1.37122178516983,103.853853154442
152352,360000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,67.0,53.25,0.12435542887839324,1.33231740745783,103.936301267285
152337,660000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,11.0,119.0,56.416666666666664,0.09278974207436663,1.37226364000281,103.856828749976
152338,705000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,14.0,120.0,55.75,0.08457200963286415,1.36633947709831,103.859122319513
152339,700000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,23.0,119.0,54.666666666666664,0.09130768375268894,1.36720027552413,103.853247443819
152340,808000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,8.0,146.0,54.083333333333336,0.09519015323320645,1.36748702509964,103.849651723914
152341,638888.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,5.0,123.0,53.75,0.0947768595476397,1.36620036835108,103.848778360851
152342,665000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,11.0,121.0,56.75,0.10447923376899793,1.37598486077444,103.848860479053
152343,840000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,8.0,136.0,56.333333333333336,0.10322465707147321,1.37482589458092,103.848956089557
152344,855000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,23.0,110.0,81.91666666666667,0.09708353554211735,1.36502933267756,103.845300649183
152345,296000.0,2023,5,2023-05-01,East,Bedok,2.0,11.0,45.0,61.75,0.11189627165537486,1.33270278688381,103.923456730636
152346,378000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,67.0,54.5,0.11433749014030314,1.32856421177174,103.930036524233
152347,380000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,67.0,53.25,0.12563674902595467,1.3332985212474,103.936601473643
152348,375000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,67.0,53.25,0.12676186200415018,1.33348258777759,103.937542520091
152349,380000.0,2023,5,2023-05-01,East,Bedok,3.0,14.0,67.0,53.25,0.12676186200415018,1.33348258777759,103.937542520091
152350,372000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,73.0,54.083333333333336,0.12403583867772516,1.33143368026417,103.936865404278
152351,358000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,70.0,53.75,0.12579596056839892,1.32791477933184,103.942144427101
152373,398000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,68.0,62.25,0.10778363568753613,1.33433432226397,103.917712559288
152374,362000.0,2023,5,2023-05-01,East,Bedok,3.0,14.0,59.0,51.75,0.12121950445071472,1.32038884581716,103.945093904498
152375,383000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,73.0,53.083333333333336,0.11142065677075719,1.3228317365472,103.932852166088
152376,423000.0,2023,5,2023-05-01,East,Bedok,3.0,14.0,73.0,53.0,0.11179798485639392,1.32329861671383,103.932762614007
152377,365000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,73.0,54.0,0.11769831310898149,1.32283703302242,103.939124525951
152378,380000.0,2023,5,2023-05-01,East,Bedok,3.0,14.0,67.0,54.416666666666664,0.11686477780651972,1.32139766306096,103.93973036061
152379,350000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,73.0,51.75,0.1110287708886768,1.32052771476512,103.934764301988
152380,378000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,65.0,49.75,0.10445512252304079,1.32371728387748,103.92500108451
152381,505000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,68.0,92.58333333333333,0.10645539384985447,1.3268704456533,103.923848194061
152382,320000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,65.0,48.166666666666664,0.10393997030883706,1.32577850604228,103.922424710131
152383,352000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,68.0,57.083333333333336,0.10632027485416407,1.32947840879761,103.921105111921
152353,384000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,67.0,54.75,0.1141738920045885,1.32936960154503,103.929067536324
152354,405000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,82.0,54.083333333333336,0.12404200390229958,1.32925881944574,103.939046430321
152355,345000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,59.0,53.75,0.12610094753805523,1.3282966654865,103.942067527916
152356,420000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,67.0,55.25,0.109384013894404,1.32565628436985,103.927990975389
152357,338000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,59.0,54.0,0.1200061162343451,1.33188000305479,103.932389359044
152358,408888.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,68.0,55.333333333333336,0.11847779729552799,1.33490287587397,103.927838167286
152359,375000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,68.0,55.333333333333336,0.11654850018030305,1.33426946144275,103.926542284602
152360,378000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,82.0,55.25,0.1195208562036858,1.33414486865912,103.929639233409
152361,335000.0,2023,5,2023-05-01,East,Bedok,3.0,14.0,60.0,61.75,0.11358598461157099,1.33303698213001,103.924812248346
152362,380000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,68.0,55.666666666666664,0.11246871802806124,1.3335411894605,103.923190774432
152363,367000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,68.0,55.333333333333336,0.11654850018030305,1.33426946144275,103.926542284602
152364,320000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,59.0,54.0,0.1200061162343451,1.33188000305479,103.932389359044
152365,353000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,68.0,55.75,0.11353558352830362,1.33358016248275,103.92421866691
152366,352000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,67.0,54.0,0.1267276038861267,1.33178245077456,103.939208398976
152367,370000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,68.0,57.25,0.1144407273376471,1.33631180600308,103.922392167199
152368,408000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,60.0,61.916666666666664,0.1057949441276147,1.33302040888706,103.917037781105
152369,375000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,63.0,64.41666666666667,0.10285872837458543,1.33557619454702,103.911545779692
152370,408000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,67.0,61.333333333333336,0.09535565663527468,1.33023193004172,103.909386972458
152371,385000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,70.0,61.083333333333336,0.0938883308867553,1.32877022232019,103.909381354431
152372,365000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,64.0,62.666666666666664,0.10348089154135498,1.33498400074179,103.912760136664
152394,445000.0,2023,5,2023-05-01,East,Bedok,4.0,5.0,91.0,54.166666666666664,0.12384559655297367,1.32726007220341,103.940848770214
152395,465000.0,2023,5,2023-05-01,East,Bedok,4.0,8.0,91.0,53.25,0.12470036609466639,1.33274009226511,103.936223519694
152396,670000.0,2023,5,2023-05-01,East,Bedok,4.0,11.0,85.0,81.58333333333333,0.12402454052271938,1.32643686024316,103.941850926144
152397,475000.0,2023,5,2023-05-01,East,Bedok,4.0,11.0,93.0,61.416666666666664,0.10924663570538784,1.33066590908483,103.922843972485
152398,460000.0,2023,5,2023-05-01,East,Bedok,4.0,5.0,92.0,55.25,0.11948120398015938,1.3347035219436,103.929040927901
152384,345000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,68.0,57.083333333333336,0.10632027485416407,1.32947840879761,103.921105111921
152385,380000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,68.0,56.083333333333336,0.10885340012927358,1.32861957588571,103.924497070108
152386,378000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,67.0,61.166666666666664,0.10952032027316339,1.32797877350561,103.925804792632
152387,355888.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,65.0,53.083333333333336,0.1144348341357635,1.32370531661721,103.934992763383
152388,355000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,76.0,53.083333333333336,0.11568743311581908,1.32352678248226,103.936423896498
152389,530000.0,2023,5,2023-05-01,East,Bedok,4.0,8.0,92.0,56.0,0.11711598939201373,1.32852320209845,103.932856033158
