_id,town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,remaining_lease,lease_commence_date,storey_range,block,rooms,avg_storey,timeseries_month,year,original_street_name,region,position
145151,Bukit Merah,4 Room,Model A,93.0,Telok Blangah Street 31,880000.0,4,94.83333333333333,2018,13 To 15,92B,4.0,14.0,2023-04-01,2023,Telok Blangah St 31,Central,"1.27587916988466,103.80732980539 102092"
145152,Bukit Merah,4 Room,Model A,93.0,Telok Blangah Street 31,890000.0,4,94.75,2018,16 To 18,93A,4.0,17.0,2023-04-01,2023,Telok Blangah St 31,Central,"1.27532809461587,103.807323119129 101093"
145153,Bukit Merah,4 Room,Model A,93.0,Telok Blangah Street 31,830000.0,4,94.75,2018,25 To 27,91A,4.0,26.0,2023-04-01,2023,Telok Blangah St 31,Central,"1.27666192078908,103.807127959576 101091"
145154,Bukit Merah,4 Room,Model A,93.0,Telok Blangah Street 31,920000.0,4,94.75,2018,16 To 18,91A,4.0,17.0,2023-04-01,2023,Telok Blangah St 31,Central,"1.27666192078908,103.807127959576 101091"
145155,Bukit Merah,4 Room,Model A,93.0,Telok Blangah Street 31,843500.0,4,94.66666666666667,2018,07 To 09,93B,4.0,8.0,2023-04-01,2023,Telok Blangah St 31,Central,"1.27535722008159,103.807977257969 102093"
145156,Bukit Merah,4 Room,Model A,93.0,Telok Blangah Street 31,923000.0,4,94.66666666666667,2018,13 To 15,93B,4.0,14.0,2023-04-01,2023,Telok Blangah St 31,Central,"1.27535722008159,103.807977257969 102093"
145160,Bukit Merah,4 Room,Improved,82.0,Telok Blangah Way,487000.0,4,52.083333333333336,1976,13 To 15,27,4.0,14.0,2023-04-01,2023,Telok Blangah Way,Central,"1.27423633221398,103.82171468011 090027"
145161,Bukit Merah,4 Room,Improved,82.0,Telok Blangah Way,520000.0,4,52.083333333333336,1976,10 To 12,34,4.0,11.0,2023-04-01,2023,Telok Blangah Way,Central,"1.27351780057463,103.822480988448 090034"
145164,Bukit Merah,5 Room,Improved,115.0,Boon Tiong Road,1038000.0,4,81.58333333333333,2005,10 To 12,4B,5.0,11.0,2023-04-01,2023,Boon Tiong Rd,Central,"1.28658878251864,103.831950295943 165004"
145171,Bukit Merah,5 Room,Improved,116.0,Depot Road,830000.0,4,81.91666666666667,2006,04 To 06,111A,5.0,5.0,2023-04-01,2023,Depot Rd,Central,"1.28112269302349,103.808687895607 101111"
145179,Bukit Merah,5 Room,Improved,119.0,Jln Bt Merah,760000.0,4,54.833333333333336,1979,10 To 12,140,5.0,11.0,2023-04-01,2023,Jln Bt Merah,Central,"1.27815614255865,103.829524327849 160140"
145180,Bukit Merah,5 Room,Model A,135.0,Jln Bt Merah,822888.0,4,72.83333333333333,1997,07 To 09,135,5.0,8.0,2023-04-01,2023,Jln Bt Merah,Central,"1.27860068677354,103.82708537661 160135"
145181,Bukit Merah,5 Room,Improved,123.0,Jln Bt Merah,862000.0,4,72.58333333333333,1996,16 To 18,14,5.0,17.0,2023-04-01,2023,Jln Bt Merah,Central,"1.28786130507779,103.807648167533 150014"
145185,Bukit Merah,5 Room,Improved,110.0,Jln Membina,840000.0,4,78.83333333333333,2003,01 To 03,118C,5.0,2.0,2023-04-01,2023,Jln Membina,Central,"1.2821693708226,103.826333715085 163118"
145189,Bukit Merah,5 Room,Improved,126.0,Kim Tian Road,1178888.0,4,71.41666666666667,1995,01 To 03,122,5.0,2.0,2023-04-01,2023,Kim Tian Rd,Central,"1.28339187402842,103.82889400724 160122"
145190,Bukit Merah,5 Room,Improved,110.0,Kim Tian Road,940000.0,4,78.5,2002,22 To 24,119D,5.0,23.0,2023-04-01,2023,Kim Tian Rd,Central,"1.2819459836123,103.827911093868 164119"
145191,Bukit Merah,5 Room,Improved,110.0,Kim Tian Road,965000.0,4,77.75,2002,25 To 27,131B,5.0,26.0,2023-04-01,2023,Kim Tian Rd,Central,"1.28091756873327,103.828370313694 162131"
145192,Bukit Merah,5 Room,Improved,110.0,Kim Tian Road,930000.0,4,77.75,2002,28 To 30,131B,5.0,29.0,2023-04-01,2023,Kim Tian Rd,Central,"1.28091756873327,103.828370313694 162131"
145193,Bukit Merah,5 Room,Improved,121.0,Lengkok Bahru,922000.0,4,77.66666666666667,2001,10 To 12,63A,5.0,11.0,2023-04-01,2023,Lengkok Bahru,Central,"1.28965100014149,103.815399530717 151063"
145194,Bukit Merah,5 Room,Improved,122.0,Lengkok Bahru,720000.0,4,62.5,1986,07 To 09,51,5.0,8.0,2023-04-01,2023,Lengkok Bahru,Central,"1.28761342640189,103.812272115642 150051"
145200,Bukit Merah,5 Room,Improved,115.0,Redhill Road,800000.0,4,81.66666666666667,2005,01 To 03,73A,5.0,2.0,2023-04-01,2023,Redhill Rd,Central,"1.28793756967297,103.816790861272 151073"
145201,Bukit Merah,5 Room,Improved,115.0,Redhill Road,866888.0,4,81.66666666666667,2005,01 To 03,73A,5.0,2.0,2023-04-01,2023,Redhill Rd,Central,"1.28793756967297,103.816790861272 151073"
145206,Bukit Merah,5 Room,Adjoined Flat,152.0,Telok Blangah Cres,870000.0,4,50.75,1975,10 To 12,6,5.0,11.0,2023-04-01,2023,Telok Blangah Cres,Central,"1.27814081311562,103.818484019328 090006"
145215,Bukit Merah,5 Room,Improved,110.0,Telok Blangah Hts,925000.0,4,79.08333333333333,2003,22 To 24,86,5.0,23.0,2023-04-01,2023,Telok Blangah Hts,Central,"1.27675646378157,103.808525245963 100086"
145230,Bukit Panjang,3 Room,Model A,68.0,Fajar Road,425000.0,4,92.66666666666667,2016,07 To 09,442B,3.0,8.0,2023-04-01,2023,Fajar Rd,West,"1.38143384735951,103.771366304235 672442"
145242,Bukit Panjang,3 Room,Simplified,64.0,Pending Road,357500.0,4,64.25,1988,01 To 03,127,3.0,2.0,2023-04-01,2023,Pending Rd,West,"1.37649164252574,103.769282744014 670127"
145243,Bukit Panjang,3 Room,Simplified,64.0,Pending Road,368000.0,4,64.66666666666667,1988,04 To 06,112,3.0,5.0,2023-04-01,2023,Pending Rd,West,"1.37855560391305,103.768748798796 670112"
145244,Bukit Panjang,3 Room,Model A,73.0,Pending Road,367000.0,4,63.916666666666664,1988,07 To 09,115,3.0,8.0,2023-04-01,2023,Pending Rd,West,"1.37801437708806,103.76920520215 670115"
145245,Bukit Panjang,3 Room,Model A,73.0,Pending Road,388000.0,4,64.08333333333333,1988,10 To 12,118,3.0,11.0,2023-04-01,2023,Pending Rd,West,"1.37680420349222,103.768463736662 670118"
145253,Bukit Panjang,3 Room,Model A,73.0,Petir Road,395000.0,4,64.91666666666667,1989,10 To 12,220,3.0,11.0,2023-04-01,2023,Petir Rd,West,"1.37452837023545,103.772867119001 670220"
145254,Bukit Panjang,3 Room,Model A,73.0,Petir Road,318000.0,4,65.33333333333333,1989,04 To 06,137,3.0,5.0,2023-04-01,2023,Petir Rd,West,"1.37499058666436,103.769509869284 670137"
145261,Bukit Panjang,3 Room,Model A,67.0,Segar Road,440000.0,4,91.25,2015,10 To 12,547D,3.0,11.0,2023-04-01,2023,Segar Rd,West,"1.38890112645022,103.7690032304 674547"
145266,Bukit Panjang,3 Room,Model A,67.0,Senja Road,448000.0,4,89.75,2013,13 To 15,633D,3.0,14.0,2023-04-01,2023,Senja Rd,West,"1.38461189714551,103.759602675107 674633"
145277,Bukit Panjang,4 Room,Model A,108.0,Bt Panjang Ring Road,488888.0,4,64.41666666666667,1988,10 To 12,241,4.0,11.0,2023-04-01,2023,Bt Panjang Ring Rd,West,"1.37971696912364,103.771871254159 670241"
145278,Bukit Panjang,4 Room,Model A,104.0,Bt Panjang Ring Road,480000.0,4,64.41666666666667,1988,04 To 06,241,4.0,5.0,2023-04-01,2023,Bt Panjang Ring Rd,West,"1.37971696912364,103.771871254159 670241"
145279,Bukit Panjang,4 Room,Simplified,84.0,Bt Panjang Ring Road,408000.0,4,64.75,1988,01 To 03,435,4.0,2.0,2023-04-01,2023,Bt Panjang Ring Rd,West,"1.38603975530039,103.770196329443 670435"
145280,Bukit Panjang,4 Room,Model A,100.0,Bt Panjang Ring Road,470000.0,4,75.16666666666667,1999,01 To 03,535,4.0,2.0,2023-04-01,2023,Bt Panjang Ring Rd,West,"1.38441803266575,103.763328716712 670535"
145283,Bukit Panjang,4 Room,Model A,103.0,Cashew Road,498000.0,4,64.66666666666667,1988,10 To 12,132,4.0,11.0,2023-04-01,2023,Cashew Rd,West,"1.37427380230521,103.770688640795 670132"
145295,Bukit Panjang,4 Room,Model A,104.0,Fajar Road,485000.0,4,65.66666666666667,1989,10 To 12,441,4.0,11.0,2023-04-01,2023,Fajar Rd,West,"1.38322219117285,103.770836884573 670441"
145302,Bukit Panjang,4 Room,Model A,102.0,Gangsa Road,645000.0,4,74.16666666666667,1998,16 To 18,164,4.0,17.0,2023-04-01,2023,Gangsa Rd,West,"1.37647171774719,103.764884247788 670164"
145303,Bukit Panjang,4 Room,Model A,101.0,Gangsa Road,665000.0,4,73.75,1997,13 To 15,171,4.0,14.0,2023-04-01,2023,Gangsa Rd,West,"1.37896953663304,103.766375003722 670171"
145314,Bukit Panjang,4 Room,Model A2,91.0,Jelapang Road,445000.0,4,74.25,1998,13 To 15,510,4.0,14.0,2023-04-01,2023,Jelapang Rd,West,"1.38758897243491,103.768982952421 670510"
145315,Bukit Panjang,4 Room,Model A2,90.0,Jelapang Road,460000.0,4,74.16666666666667,1998,07 To 09,508,4.0,8.0,2023-04-01,2023,Jelapang Rd,West,"1.38634539387806,103.768831827225 670508"
145316,Bukit Panjang,4 Room,Model A,102.0,Jelapang Road,472000.0,4,74.5,1998,07 To 09,518,4.0,8.0,2023-04-01,2023,Jelapang Rd,West,"1.38703281233192,103.766924336092 670518"
145317,Bukit Panjang,4 Room,Model A,103.0,Jelapang Road,453000.0,4,73.91666666666667,1998,01 To 03,502,4.0,2.0,2023-04-01,2023,Jelapang Rd,West,"1.38371721293326,103.766750828138 670502"
145318,Bukit Panjang,4 Room,Model A2,93.0,Jelapang Road,480888.0,4,74.16666666666667,1998,13 To 15,508,4.0,14.0,2023-04-01,2023,Jelapang Rd,West,"1.38634539387806,103.768831827225 670508"
145319,Bukit Panjang,4 Room,Model A2,90.0,Jelapang Road,450000.0,4,74.25,1998,01 To 03,510,4.0,2.0,2023-04-01,2023,Jelapang Rd,West,"1.38758897243491,103.768982952421 670510"
145320,Bukit Panjang,4 Room,Model A,102.0,Jelapang Road,465000.0,4,74.0,1998,04 To 06,501,4.0,5.0,2023-04-01,2023,Jelapang Rd,West,"1.38288226683648,103.76684712949 670501"
145327,Bukit Panjang,4 Room,Premium Apartment,90.0,Jelebu Road,680000.0,4,79.16666666666667,2003,13 To 15,182,4.0,14.0,2023-04-01,2023,Jelebu Rd,West,"1.37984403992366,103.763409218035 670182"
145330,Bukit Panjang,4 Room,Model A,101.0,Lompang Road,680000.0,4,73.41666666666667,1997,10 To 12,174,4.0,11.0,2023-04-01,2023,Lompang Rd,West,"1.38021544120199,103.766302173684 670174"
145337,Bukit Panjang,4 Room,Model A,103.0,Pending Road,420000.0,4,63.5,1987,01 To 03,125,4.0,2.0,2023-04-01,2023,Pending Rd,West,"1.37720623303834,103.770506986516 670125"
145338,Bukit Panjang,4 Room,Model A,103.0,Pending Road,490000.0,4,64.75,1988,10 To 12,230,4.0,11.0,2023-04-01,2023,Pending Rd,West,"1.3761666118542,103.772207125572 670230"
145344,Bukit Panjang,4 Room,Model A,103.0,Petir Road,488000.0,4,64.33333333333333,1988,10 To 12,139,4.0,11.0,2023-04-01,2023,Petir Rd,West,"1.37534822344466,103.76965777289 670139"
145345,Bukit Panjang,4 Room,Model A,103.0,Petir Road,490000.0,4,64.66666666666667,1988,10 To 12,205,4.0,11.0,2023-04-01,2023,Petir Rd,West,"1.37343025396585,103.773924079454 670205"
145346,Bukit Panjang,4 Room,Model A,104.0,Petir Road,490000.0,4,63.25,1987,10 To 12,217,4.0,11.0,2023-04-01,2023,Petir Rd,West,"1.37490881321342,103.773547829377 670217"
145347,Bukit Panjang,4 Room,Simplified,84.0,Petir Road,435000.0,4,64.0,1988,10 To 12,207,4.0,11.0,2023-04-01,2023,Petir Rd,West,"1.37370703550109,103.774851276857 670207"
145370,Bukit Panjang,4 Room,Model A,92.0,Segar Road,515888.0,4,91.33333333333333,2015,04 To 06,546B,4.0,5.0,2023-04-01,2023,Segar Rd,West,"1.38879453668982,103.769891778175 672546"
145371,Bukit Panjang,4 Room,Model A,92.0,Segar Road,480000.0,4,91.75,2015,04 To 06,550B,4.0,5.0,2023-04-01,2023,Segar Rd,West,"1.38959118621,103.76744702208 672550"
145372,Bukit Panjang,4 Room,Premium Apartment,90.0,Segar Road,448888.0,4,78.08333333333333,2002,10 To 12,471,4.0,11.0,2023-04-01,2023,Segar Rd,West,"1.3882916461168,103.772894835446 670471"
145373,Bukit Panjang,4 Room,Model A,92.0,Segar Road,508000.0,4,91.75,2015,04 To 06,548A,4.0,5.0,2023-04-01,2023,Segar Rd,West,"1.38903884910542,103.768351041202 671548"
145374,Bukit Panjang,4 Room,Model A,93.0,Segar Road,535000.0,4,90.75,2014,07 To 09,486,4.0,8.0,2023-04-01,2023,Segar Rd,West,"1.38924060817621,103.77162077126 670486"
145375,Bukit Panjang,4 Room,Model A,92.0,Segar Road,470000.0,4,91.75,2015,01 To 03,549B,4.0,2.0,2023-04-01,2023,Segar Rd,West,"1.38973728584298,103.767840228613 672549"
145376,Bukit Panjang,4 Room,Model A,92.0,Segar Road,560000.0,4,91.75,2015,16 To 18,550B,4.0,17.0,2023-04-01,2023,Segar Rd,West,"1.38959118621,103.76744702208 672550"
145377,Bukit Panjang,4 Room,Model A,92.0,Segar Road,545000.0,4,91.66666666666667,2015,10 To 12,548A,4.0,11.0,2023-04-01,2023,Segar Rd,West,"1.38903884910542,103.768351041202 671548"
145378,Bukit Panjang,4 Room,Model A,92.0,Segar Road,483000.0,4,91.25,2015,01 To 03,547A,4.0,2.0,2023-04-01,2023,Segar Rd,West,"1.38806381747058,103.77000953634 671547"
145379,Bukit Panjang,4 Room,Premium Apartment,93.0,Segar Road,505000.0,4,88.58333333333333,2012,04 To 06,456,4.0,5.0,2023-04-01,2023,Segar Rd,West,"1.38754537018879,103.770442353455 670456"
145402,Bukit Panjang,4 Room,Premium Apartment,93.0,Senja Road,518000.0,4,80.58333333333333,2004,13 To 15,629,4.0,14.0,2023-04-01,2023,Senja Rd,West,"1.38652802373559,103.759278980746 670629"
145403,Bukit Panjang,4 Room,Model A,93.0,Senja Road,501000.0,4,91.58333333333333,2015,04 To 06,634A,4.0,5.0,2023-04-01,2023,Senja Rd,West,"1.38579809218637,103.757614659363 671634"
145404,Bukit Panjang,4 Room,Premium Apartment,93.0,Senja Road,515000.0,4,80.5,2004,22 To 24,629,4.0,23.0,2023-04-01,2023,Senja Rd,West,"1.38652802373559,103.759278980746 670629"
145405,Bukit Panjang,4 Room,Model A2,91.0,Senja Road,620000.0,4,75.0,1999,13 To 15,601,4.0,14.0,2023-04-01,2023,Senja Rd,West,"1.38191601013855,103.762499853661 670601"
145406,Bukit Panjang,4 Room,Model A,92.0,Senja Road,545000.0,4,91.58333333333333,2015,10 To 12,635A,4.0,11.0,2023-04-01,2023,Senja Rd,West,"1.38656225824527,103.757208072494 671635"
145407,Bukit Panjang,4 Room,Model A,91.0,Senja Road,480000.0,4,78.0,2002,19 To 21,612,4.0,20.0,2023-04-01,2023,Senja Rd,West,"1.38402104593465,103.761034236428 670612"
145411,Bukit Panjang,5 Room,Improved,122.0,Bangkit Road,600000.0,4,64.5,1988,10 To 12,248,5.0,11.0,2023-04-01,2023,Bangkit Rd,West,"1.38137164749459,103.774298960743 670248"
145417,Bukit Panjang,5 Room,Improved,111.0,Bt Panjang Ring Road,588000.0,4,77.5,2001,04 To 06,620,5.0,5.0,2023-04-01,2023,Bt Panjang Ring Rd,West,"1.38585558267615,103.761737460728 670620"
145418,Bukit Panjang,5 Room,Improved,121.0,Bt Panjang Ring Road,658000.0,4,75.25,1999,04 To 06,539,5.0,5.0,2023-04-01,2023,Bt Panjang Ring Rd,West,"1.38294179147406,103.763248348163 670539"
145419,Bukit Panjang,5 Room,Improved,110.0,Bt Panjang Ring Road,560000.0,4,78.08333333333333,2002,10 To 12,615,5.0,11.0,2023-04-01,2023,Bt Panjang Ring Rd,West,"1.38514726798653,103.762438315763 670615"
145420,Bukit Panjang,5 Room,Improved,110.0,Bt Panjang Ring Road,600000.0,4,78.08333333333333,2002,10 To 12,615,5.0,11.0,2023-04-01,2023,Bt Panjang Ring Rd,West,"1.38514726798653,103.762438315763 670615"
145421,Bukit Panjang,5 Room,Improved,128.0,Bt Panjang Ring Road,610000.0,4,65.33333333333333,1989,07 To 09,434,5.0,8.0,2023-04-01,2023,Bt Panjang Ring Rd,West,"1.38545924836708,103.77050511557 670434"
145432,Bukit Panjang,5 Room,Improved,122.0,Fajar Road,550000.0,4,64.91666666666667,1989,01 To 03,417,5.0,2.0,2023-04-01,2023,Fajar Rd,West,"1.38394433275237,103.768093178816 670417"
145433,Bukit Panjang,5 Room,Improved,122.0,Fajar Road,635000.0,4,64.75,1989,13 To 15,406,5.0,14.0,2023-04-01,2023,Fajar Rd,West,"1.38185025770492,103.767573058956 670406"
145434,Bukit Panjang,5 Room,Improved,132.0,Gangsa Road,645000.0,4,63.416666666666664,1987,07 To 09,111,5.0,8.0,2023-04-01,2023,Gangsa Rd,West,"1.37816747421231,103.768365653762 670111"
145435,Bukit Panjang,5 Room,Improved,121.0,Gangsa Road,620000.0,4,63.666666666666664,1987,13 To 15,110,5.0,14.0,2023-04-01,2023,Gangsa Rd,West,"1.3778637208368,103.768139168585 670110"
145441,Bukit Panjang,5 Room,Improved,120.0,Jelapang Road,655000.0,4,75.08333333333333,1999,07 To 09,538,5.0,8.0,2023-04-01,2023,Jelapang Rd,West,"1.38387053713683,103.763690774195 670538"
145442,Bukit Panjang,5 Room,Improved,121.0,Jelapang Road,640000.0,4,74.25,1998,13 To 15,520,5.0,14.0,2023-04-01,2023,Jelapang Rd,West,"1.38646757937131,103.7665076307 670520"
145443,Bukit Panjang,5 Room,Improved,121.0,Jelapang Road,540000.0,4,74.41666666666667,1998,04 To 06,516,5.0,5.0,2023-04-01,2023,Jelapang Rd,West,"1.3873519377776,103.767041821055 670516"
145445,Bukit Panjang,5 Room,Premium Apartment,113.0,Jelebu Road,795000.0,4,79.08333333333333,2003,25 To 27,183,5.0,26.0,2023-04-01,2023,Jelebu Rd,West,"1.37996382610558,103.763048293444 670183"
145450,Bukit Panjang,5 Room,Improved,132.0,Petir Road,585000.0,4,64.25,1988,01 To 03,211,5.0,2.0,2023-04-01,2023,Petir Rd,West,"1.37466415529251,103.77614521146 670211"
145451,Bukit Panjang,5 Room,Improved,128.0,Petir Road,580000.0,4,64.5,1988,01 To 03,136,5.0,2.0,2023-04-01,2023,Petir Rd,West,"1.37461056095475,103.768753597677 670136"
145452,Bukit Panjang,5 Room,Improved,120.0,Petir Road,805000.0,4,74.33333333333333,1998,22 To 24,167,5.0,23.0,2023-04-01,2023,Petir Rd,West,"1.37742263722288,103.764969276089 670167"
145465,Bukit Panjang,5 Room,Premium Apartment,111.0,Senja Link,568000.0,4,77.58333333333333,2001,13 To 15,651,5.0,14.0,2023-04-01,2023,Senja Link,West,"1.38661244316801,103.763652921172 670651"
145466,Bukit Panjang,5 Room,Premium Apartment,110.0,Senja Link,560000.0,4,77.5,2001,07 To 09,653,5.0,8.0,2023-04-01,2023,Senja Link,West,"1.38692590741026,103.763946218351 670653"
145476,Bukit Panjang,5 Room,Improved,120.0,Senja Road,790000.0,4,75.16666666666667,1999,13 To 15,605,5.0,14.0,2023-04-01,2023,Senja Rd,West,"1.38080486799859,103.761856783214 670605"
145477,Bukit Panjang,5 Room,Improved,112.0,Senja Road,680000.0,4,91.5,2015,19 To 21,635A,5.0,20.0,2023-04-01,2023,Senja Rd,West,"1.38656225824527,103.757208072494 671635"
145478,Bukit Panjang,5 Room,Improved,112.0,Senja Road,673888.0,4,91.5,2015,13 To 15,635A,5.0,14.0,2023-04-01,2023,Senja Rd,West,"1.38656225824527,103.757208072494 671635"
145479,Bukit Panjang,5 Room,Premium Apartment,110.0,Senja Road,650000.0,4,80.5,2004,19 To 21,627,5.0,20.0,2023-04-01,2023,Senja Rd,West,"1.38553502172905,103.759378313644 670627"
145480,Bukit Panjang,5 Room,Premium Apartment,110.0,Senja Road,609000.0,4,80.5,2004,19 To 21,631,5.0,20.0,2023-04-01,2023,Senja Rd,West,"1.38647806662619,103.760256469034 670631"
145481,Bukit Panjang,5 Room,Premium Apartment,110.0,Senja Road,595000.0,4,80.5,2004,07 To 09,629,5.0,8.0,2023-04-01,2023,Senja Rd,West,"1.38652802373559,103.759278980746 670629"
145484,Bukit Panjang,Executive,Apartment,130.0,Bt Panjang Ring Road,700000.0,4,77.5,2001,04 To 06,617,4.5,5.0,2023-04-01,2023,Bt Panjang Ring Rd,West,"1.38565259545477,103.762825738906 670617"
145485,Bukit Panjang,Executive,Maisonette,146.0,Bt Panjang Ring Road,842000.0,4,64.91666666666667,1989,10 To 12,239,4.5,11.0,2023-04-01,2023,Bt Panjang Ring Rd,West,"1.38014939686036,103.771126294353 670239"
145491,Bukit Panjang,Executive,Apartment,141.0,Gangsa Road,730000.0,4,74.66666666666667,1998,01 To 03,155,4.5,2.0,2023-04-01,2023,Gangsa Rd,West,"1.37531520951441,103.765028861819 670155"
145498,Bukit Panjang,Executive,Apartment,143.0,Jelapang Road,823000.0,4,74.0,1998,10 To 12,503,4.5,11.0,2023-04-01,2023,Jelapang Rd,West,"1.3841841461098,103.766434636885 670503"
145505,Bukit Panjang,Executive,Apartment,130.0,Senja Road,680000.0,4,77.75,2001,01 To 03,607,4.5,2.0,2023-04-01,2023,Senja Rd,West,"1.38251965138698,103.761516280011 670607"
145508,Bukit Timah,3 Room,Improved,63.0,Queen'S Road,428000.0,4,50.0,1974,07 To 09,4,3.0,8.0,2023-04-01,2023,Queen'S Rd,Central,"1.31883225284458,103.808061967625 260004"
145509,Bukit Timah,3 Room,Improved,73.0,Queen'S Road,475000.0,4,50.0,1974,07 To 09,4,3.0,8.0,2023-04-01,2023,Queen'S Rd,Central,"1.31883225284458,103.808061967625 260004"
145517,Bukit Timah,4 Room,Model A,104.0,Toh Yi Drive,810000.0,4,65.25,1989,01 To 03,11,4.0,2.0,2023-04-01,2023,Toh Yi Dr,Central,"1.33800261167656,103.77260327239 590011"
145518,Bukit Timah,5 Room,Improved,127.0,Toh Yi Drive,985000.0,4,65.08333333333333,1989,04 To 06,12,5.0,5.0,2023-04-01,2023,Toh Yi Dr,Central,"1.33840274340359,103.772685810097 NIL"
145532,Central Area,3 Room,Improved,68.0,Queen Street,499000.0,4,54.916666666666664,1979,19 To 21,271,3.0,20.0,2023-04-01,2023,Queen St,Central,"1.30093267323152,103.853991004773 180271"
145541,Central Area,3 Room,Standard,56.0,Selegie Road,370000.0,4,49.75,1974,07 To 09,10,3.0,8.0,2023-04-01,2023,Selegie Rd,Central,"1.30370879401395,103.850537238747 180010"
145550,Central Area,3 Room,Improved,65.0,Upp Cross Street,444800.0,4,51.25,1975,10 To 12,34,3.0,11.0,2023-04-01,2023,Upp Cross St,Central,"1.2862352148315,103.842303340846 050034"
145753,Choa Chu Kang,4 Room,Model A,90.0,Choa Chu Kang Drive,450000.0,4,78.0,2002,10 To 12,688B,4.0,11.0,2023-04-01,2023,Choa Chu Kang Dr,West,"1.40343593772923,103.75033691367 682688"
145555,Central Area,3 Room,Improved,60.0,Waterloo Street,420000.0,4,54.25,1978,07 To 09,263,3.0,8.0,2023-04-01,2023,Waterloo St,Central,"1.29860886084679,103.852267043086 180263"
145556,Central Area,3 Room,Improved,60.0,Waterloo Street,469999.0,4,54.25,1978,04 To 06,263,3.0,5.0,2023-04-01,2023,Waterloo St,Central,"1.29860886084679,103.852267043086 180263"
145557,Central Area,4 Room,Improved,82.0,Bain Street,788000.0,4,56.083333333333336,1980,13 To 15,232,4.0,14.0,2023-04-01,2023,Bain St,Central,"1.29685311080014,103.853347534791 180232"
145570,Central Area,4 Room,Type S1,93.0,Cantonment Road,1200000.0,4,86.83333333333333,2011,43 To 45,1G,4.0,44.0,2023-04-01,2023,Cantonment Rd,Central,"1.27553229128302,103.841274606704 085701"
145571,Central Area,4 Room,Type S1,95.0,Cantonment Road,1000000.0,4,86.83333333333333,2011,10 To 12,1F,4.0,11.0,2023-04-01,2023,Cantonment Rd,Central,"1.27598699469414,103.841191762017 085601"
145572,Central Area,4 Room,Type S1,93.0,Cantonment Road,1250000.0,4,86.75,2011,46 To 48,1A,4.0,47.0,2023-04-01,2023,Cantonment Rd,Central,"1.27784271048219,103.840965923691 085101"
145573,Central Area,4 Room,Type S1,95.0,Cantonment Road,1400000.0,4,86.75,2011,46 To 48,1C,4.0,47.0,2023-04-01,2023,Cantonment Rd,Central,"1.27744909387079,103.841666679651 085301"
145575,Central Area,4 Room,Improved,77.0,Chin Swee Road,518000.0,4,50.25,1974,07 To 09,53,4.0,8.0,2023-04-01,2023,Chin Swee Rd,Central,"1.28762316970348,103.841462885627 160053"
145591,Central Area,5 Room,Type S2,106.0,Cantonment Road,1400000.0,4,86.83333333333333,2011,40 To 42,1G,5.0,41.0,2023-04-01,2023,Cantonment Rd,Central,"1.27553229128302,103.841274606704 085701"
145592,Central Area,5 Room,Improved,105.0,Klang Lane,775000.0,4,78.33333333333333,2002,16 To 18,672B,5.0,17.0,2023-04-01,2023,Klang Lane,Central,"1.30903703924735,103.852847667323 212672"
145597,Choa Chu Kang,2 Room,Model A,47.0,Teck Whye Cres,320000.0,4,90.83333333333333,2015,16 To 18,166A,2.0,17.0,2023-04-01,2023,Teck Whye Cres,West,"1.38329360087486,103.753025884378 681166"
145605,Choa Chu Kang,3 Room,Model A,67.0,Choa Chu Kang Avenue 5,400000.0,4,89.25,2013,04 To 06,476D,3.0,5.0,2023-04-01,2023,Choa Chu Kang Ave 5,West,"1.37727907968964,103.738418034791 684476"
145617,Choa Chu Kang,3 Room,Model A,68.0,Keat Hong Cl,435000.0,4,93.25,2017,07 To 09,803B,3.0,8.0,2023-04-01,2023,Keat Hong Cl,West,"1.37381927100149,103.743367182453 682803"
145623,Choa Chu Kang,3 Room,Model A,68.0,Teck Whye Cres,410000.0,4,90.83333333333333,2015,13 To 15,166B,3.0,14.0,2023-04-01,2023,Teck Whye Cres,West,"1.38315989308266,103.753400918803 682166"
145629,Choa Chu Kang,3 Room,Model A,73.0,Teck Whye Lane,370000.0,4,65.58333333333333,1989,10 To 12,106,3.0,11.0,2023-04-01,2023,Teck Whye Lane,West,"1.37795798795128,103.752931630674 680106"
145630,Choa Chu Kang,3 Room,New Generation,74.0,Teck Whye Lane,335888.0,4,55.0,1979,07 To 09,26,3.0,8.0,2023-04-01,2023,Teck Whye Lane,West,"1.37762112372223,103.755740001262 680026"
145660,Choa Chu Kang,4 Room,Model A,101.0,Choa Chu Kang Avenue 3,452000.0,4,74.91666666666667,1999,04 To 06,471,4.0,5.0,2023-04-01,2023,Choa Chu Kang Ave 3,West,"1.37859282552753,103.737126374388 680471"
145661,Choa Chu Kang,4 Room,Model A,104.0,Choa Chu Kang Avenue 3,480000.0,4,69.25,1993,10 To 12,286,4.0,11.0,2023-04-01,2023,Choa Chu Kang Ave 3,West,"1.37961096389848,103.741537948984 680286"
145662,Choa Chu Kang,4 Room,Model A,101.0,Choa Chu Kang Avenue 3,485000.0,4,75.08333333333333,1999,13 To 15,473,4.0,14.0,2023-04-01,2023,Choa Chu Kang Ave 3,West,"1.37961821111761,103.738115482342 680473"
