_id,town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,remaining_lease,lease_commence_date,storey_range,block,rooms,avg_storey,timeseries_month,year,original_street_name,region,position
143537,Ang Mo Kio,3 Room,New Generation,68.0,Ang Mo Kio Avenue 4,342000.0,4,56.666666666666664,1980,01 To 03,610,3.0,2.0,2023-04-01,2023,Ang Mo Kio Ave 4,North-East,"1.37939470957037,103.839157231326 560610"
143538,Ang Mo Kio,3 Room,New Generation,68.0,Ang Mo Kio Avenue 4,300000.0,4,57.083333333333336,1981,01 To 03,156,3.0,2.0,2023-04-01,2023,Ang Mo Kio Ave 4,North-East,"1.37549519574964,103.839947470774 560156"
143560,Ang Mo Kio,3 Room,New Generation,68.0,Ang Mo Kio Avenue 5,348000.0,4,56.833333333333336,1981,07 To 09,150,3.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 5,North-East,"1.37680678506745,103.842017962576 560150"
143561,Ang Mo Kio,3 Room,New Generation,67.0,Ang Mo Kio Avenue 5,375000.0,4,56.166666666666664,1980,04 To 06,604,3.0,5.0,2023-04-01,2023,Ang Mo Kio Ave 5,North-East,"1.37986658053966,103.835976650638 560604"
143562,Ang Mo Kio,3 Room,New Generation,82.0,Ang Mo Kio Avenue 5,387000.0,4,56.166666666666664,1980,10 To 12,605,3.0,11.0,2023-04-01,2023,Ang Mo Kio Ave 5,North-East,"1.37967157676416,103.836487400764 560605"
143570,Ang Mo Kio,3 Room,New Generation,68.0,Ang Mo Kio Avenue 6,345000.0,4,56.416666666666664,1980,01 To 03,635,3.0,2.0,2023-04-01,2023,Ang Mo Kio Ave 6,North-East,"1.38076896104696,103.842378423538 560635"
143571,Ang Mo Kio,3 Room,New Generation,67.0,Ang Mo Kio Avenue 6,393000.0,4,60.75,1985,07 To 09,633,3.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 6,North-East,"1.38120447407275,103.842513754208 560633"
143572,Ang Mo Kio,3 Room,New Generation,68.0,Ang Mo Kio Avenue 6,395000.0,4,56.416666666666664,1980,10 To 12,637,3.0,11.0,2023-04-01,2023,Ang Mo Kio Ave 6,North-East,"1.38036187235317,103.842334616577 560637"
143585,Ang Mo Kio,3 Room,Model A,68.0,Ang Mo Kio Street 51,675000.0,4,94.83333333333333,2019,13 To 15,590B,3.0,14.0,2023-04-01,2023,Ang Mo Kio St 51,North-East,"1.37118642598512,103.852980282648 562590"
143586,Ang Mo Kio,3 Room,Model A,68.0,Ang Mo Kio Street 51,690000.0,4,94.83333333333333,2019,25 To 27,590B,3.0,26.0,2023-04-01,2023,Ang Mo Kio St 51,North-East,"1.37118642598512,103.852980282648 562590"
143595,Ang Mo Kio,4 Room,Model A,88.0,Ang Mo Kio Avenue 1,800000.0,4,88.5,2012,10 To 12,307B,4.0,11.0,2023-04-01,2023,Ang Mo Kio Ave 1,North-East,"1.36583937026389,103.844630828457 562307"
143596,Ang Mo Kio,4 Room,New Generation,91.0,Ang Mo Kio Avenue 1,525000.0,4,57.916666666666664,1982,07 To 09,336,4.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 1,North-East,"1.36357565114303,103.851871170863 560336"
143597,Ang Mo Kio,4 Room,New Generation,91.0,Ang Mo Kio Avenue 1,402888.0,4,57.916666666666664,1982,01 To 03,336,4.0,2.0,2023-04-01,2023,Ang Mo Kio Ave 1,North-East,"1.36357565114303,103.851871170863 560336"
143614,Ang Mo Kio,4 Room,New Generation,92.0,Ang Mo Kio Avenue 10,478888.0,4,55.416666666666664,1979,07 To 09,415,4.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 10,North-East,"1.36445335577543,103.853655233672 560415"
143615,Ang Mo Kio,4 Room,New Generation,93.0,Ang Mo Kio Avenue 10,480000.0,4,56.833333333333336,1981,07 To 09,549,4.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 10,North-East,"1.37316478582721,103.857411830838 560549"
143616,Ang Mo Kio,4 Room,New Generation,92.0,Ang Mo Kio Avenue 10,480000.0,4,55.583333333333336,1979,04 To 06,470,4.0,5.0,2023-04-01,2023,Ang Mo Kio Ave 10,North-East,"1.36408620030202,103.856692408941 560470"
143617,Ang Mo Kio,4 Room,New Generation,92.0,Ang Mo Kio Avenue 10,455000.0,4,55.25,1979,04 To 06,472,4.0,5.0,2023-04-01,2023,Ang Mo Kio Ave 10,North-East,"1.36314392666998,103.858118593427 560472"
143817,Bedok,3 Room,Improved,60.0,Bedok North Road,335000.0,4,62.083333333333336,1986,04 To 06,77,3.0,5.0,2023-04-01,2023,Bedok Nth Rd,East,"1.32869611162886,103.941995599533 460077"
143636,Ang Mo Kio,4 Room,New Generation,92.0,Ang Mo Kio Avenue 3,498000.0,4,54.5,1978,07 To 09,127,4.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 3,North-East,"1.37122322102767,103.843593321222 560127"
143637,Ang Mo Kio,4 Room,New Generation,98.0,Ang Mo Kio Avenue 3,528000.0,4,54.5,1978,07 To 09,134,4.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 3,North-East,"1.37207665479505,103.841947733195 560134"
143638,Ang Mo Kio,4 Room,New Generation,97.0,Ang Mo Kio Avenue 3,480000.0,4,53.833333333333336,1978,01 To 03,313,4.0,2.0,2023-04-01,2023,Ang Mo Kio Ave 3,North-East,"1.36664972640598,103.850133665442 560313"
143639,Ang Mo Kio,4 Room,New Generation,92.0,Ang Mo Kio Avenue 3,540000.0,4,55.166666666666664,1979,10 To 12,573,4.0,11.0,2023-04-01,2023,Ang Mo Kio Ave 3,North-East,"1.37056143999067,103.854823102785 560573"
143640,Ang Mo Kio,4 Room,New Generation,92.0,Ang Mo Kio Avenue 3,505000.0,4,54.5,1978,07 To 09,127,4.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 3,North-East,"1.37122322102767,103.843593321222 560127"
143641,Ang Mo Kio,4 Room,New Generation,92.0,Ang Mo Kio Avenue 3,488000.0,4,54.5,1978,07 To 09,119,4.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 3,North-East,"1.36956344301912,103.844698910817 560119"
143642,Ang Mo Kio,4 Room,New Generation,98.0,Ang Mo Kio Avenue 3,610000.0,4,53.166666666666664,1977,10 To 12,322,4.0,11.0,2023-04-01,2023,Ang Mo Kio Ave 3,North-East,"1.36835858820173,103.847745828569 560322"
143651,Ang Mo Kio,4 Room,New Generation,91.0,Ang Mo Kio Avenue 4,478000.0,4,57.833333333333336,1982,07 To 09,173,4.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 4,North-East,"1.37531353711244,103.836245672487 560173"
143652,Ang Mo Kio,4 Room,New Generation,92.0,Ang Mo Kio Avenue 4,466139.0,4,56.416666666666664,1980,01 To 03,612,4.0,2.0,2023-04-01,2023,Ang Mo Kio Ave 4,North-East,"1.37890791374409,103.838602654716 560612"
143653,Ang Mo Kio,4 Room,New Generation,92.0,Ang Mo Kio Avenue 4,510000.0,4,57.333333333333336,1981,07 To 09,175,4.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 4,North-East,"1.37572264709308,103.837123341994 560175"
143654,Ang Mo Kio,4 Room,New Generation,91.0,Ang Mo Kio Avenue 4,490000.0,4,57.25,1981,10 To 12,175,4.0,11.0,2023-04-01,2023,Ang Mo Kio Ave 4,North-East,"1.37572264709308,103.837123341994 560175"
143655,Ang Mo Kio,4 Room,New Generation,100.0,Ang Mo Kio Avenue 4,530000.0,4,56.583333333333336,1980,10 To 12,644,4.0,11.0,2023-04-01,2023,Ang Mo Kio Ave 4,North-East,"1.37914985571526,103.840938206473 560644"
143664,Ang Mo Kio,4 Room,New Generation,99.0,Ang Mo Kio Avenue 5,480000.0,4,56.583333333333336,1980,04 To 06,649,4.0,5.0,2023-04-01,2023,Ang Mo Kio Ave 5,North-East,"1.37776263842074,103.843782193293 560649"
143667,Ang Mo Kio,4 Room,Model A,90.0,Ang Mo Kio Avenue 6,875000.0,4,79.41666666666667,2003,22 To 24,700A,4.0,23.0,2023-04-01,2023,Ang Mo Kio Ave 6,North-East,"1.36997128892861,103.846076487359 561700"
143681,Ang Mo Kio,4 Room,Model A,95.0,Ang Mo Kio Street 32,760000.0,4,77.41666666666667,2001,16 To 18,354,4.0,17.0,2023-04-01,2023,Ang Mo Kio St 32,North-East,"1.3638775246776,103.85202861388 560354"
143691,Ang Mo Kio,4 Room,Model A,93.0,Ang Mo Kio Street 44,810000.0,4,94.0,2018,10 To 12,455C,4.0,11.0,2023-04-01,2023,Ang Mo Kio St 44,North-East,"1.36856484754808,103.857943144204 563455"
143710,Ang Mo Kio,4 Room,Model A,93.0,Ang Mo Kio Street 51,845000.0,4,94.91666666666667,2019,07 To 09,590A,4.0,8.0,2023-04-01,2023,Ang Mo Kio St 51,North-East,"1.37122178516983,103.853853154442 561590"
143711,Ang Mo Kio,4 Room,Model A,93.0,Ang Mo Kio Street 51,847888.0,4,94.83333333333333,2019,01 To 03,590B,4.0,2.0,2023-04-01,2023,Ang Mo Kio St 51,North-East,"1.37118642598512,103.852980282648 562590"
