_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude,nearest_station_0,dist_to_station0
152292,378000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,11.0,68.0,57.083333333333336,10.56,1.3766876256746,103.840159506601,Mayflower MRT,0.7
152293,400000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,8.0,68.0,55.833333333333336,10.22,1.37559336678106,103.853347801104,Ang Mo Kio MRT,0.75
152294,398000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,11.0,68.0,56.75,10.27,1.37572474765516,103.849934305516,Ang Mo Kio MRT,0.64
152295,370000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,2.0,68.0,56.333333333333336,9.98,1.3733782941643,103.853042534069,Ang Mo Kio MRT,0.54
152296,360000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,5.0,68.0,56.333333333333336,10.18,1.37485446863611,103.8502086106,Ang Mo Kio MRT,0.55
152297,368000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,8.0,68.0,56.416666666666664,11.13,1.38219867741921,103.841211533475,Yio Chu Kang MRT,0.42
152298,640000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,26.0,68.0,94.0,9.42,1.36856484754808,103.857943144204,Ang Mo Kio MRT,0.95
152299,777888.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,29.0,68.0,94.83333333333333,9.72,1.37093324079314,103.851940766136,Ang Mo Kio MRT,0.29
152300,876000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,20.0,94.0,88.41666666666667,9.15,1.36461194568101,103.844851256166,Ang Mo Kio MRT,0.79
152301,502000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,11.0,92.0,57.916666666666664,8.94,1.36371827871035,103.850980294912,Ang Mo Kio MRT,0.71
152302,460000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,91.0,53.75,9.65,1.36772803186644,103.838404951621,Mayflower MRT,0.46
152303,502888.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,98.0,52.25,9.32,1.36582089504381,103.842847772078,Ang Mo Kio MRT,0.87
152304,510000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,5.0,91.0,57.75,8.88,1.36319555672393,103.851616001112,Ang Mo Kio MRT,0.78
152305,480000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,11.0,92.0,54.75,9.38,1.36807652285135,103.854353042615,Ang Mo Kio MRT,0.57
152306,490000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,92.0,55.333333333333336,8.86,1.36339526691913,103.855273018614,Ang Mo Kio MRT,0.96
152307,445000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,93.0,55.75,10.09,1.37447378519738,103.854100515826,Ang Mo Kio MRT,0.71
152308,453000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,92.0,55.5,9.07,1.36539106633914,103.856803588706,Ang Mo Kio MRT,0.95
152309,580000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,98.0,53.75,9.32,1.3665990830055,103.846874423696,Ang Mo Kio MRT,0.47
152310,470000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,92.0,55.083333333333336,9.65,1.37056143999067,103.854823102785,Ang Mo Kio MRT,0.59
152311,530000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,98.0,54.75,9.91,1.37101536386003,103.841800323712,Mayflower MRT,0.58
152312,450000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,11.0,92.0,53.416666666666664,9.76,1.36856103572357,103.837525234344,Mayflower MRT,0.34
152313,520000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,98.0,53.833333333333336,9.4,1.36708983179046,103.845660199054,Ang Mo Kio MRT,0.54
152314,500000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,91.0,52.916666666666664,9.61,1.36856005913566,103.843235087734,Ang Mo Kio MRT,0.72
152315,506888.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,11.0,93.0,57.083333333333336,10.44,1.37549519574964,103.839947470774,Mayflower MRT,0.58
152316,530000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,97.0,53.25,10.02,1.37020344042146,103.834687722549,Mayflower MRT,0.25
152317,560000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,107.0,69.0,10.89,1.37925113811966,103.838031514738,Lentor MRT,0.74
152318,570000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,5.0,108.0,72.16666666666667,10.7,1.37751709681128,103.838053184066,Mayflower MRT,0.69
152319,445000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,100.0,56.5,10.81,1.37914986228487,103.84093819913,Yio Chu Kang MRT,0.53
152320,571000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,11.0,97.0,53.25,10.02,1.37020344042146,103.834687722549,Mayflower MRT,0.25
152321,465000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,5.0,90.0,54.0,10.33,1.37329593649654,103.835475719134,Mayflower MRT,0.24
152322,450000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,91.0,56.916666666666664,10.69,1.37690418077298,103.836218103538,Mayflower MRT,0.6
152323,485000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,5.0,91.0,56.25,11.02,1.38158208102128,103.84327351566,Yio Chu Kang MRT,0.19
152324,475000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,2.0,91.0,56.166666666666664,11.02,1.38158208102128,103.84327351566,Yio Chu Kang MRT,0.19
152325,880000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,20.0,93.0,94.16666666666667,9.94,1.36928934819166,103.834131942869,Mayflower MRT,0.36
152326,951000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,14.0,93.0,94.16666666666667,9.91,1.36886409962902,103.83395420063,Mayflower MRT,0.41
152327,678888.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,90.0,82.0,9.18,1.36502933267756,103.845300649183,Ang Mo Kio MRT,0.72
152328,730000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,14.0,90.0,82.0,9.18,1.36502933267756,103.845300649183,Ang Mo Kio MRT,0.72
152329,770000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,29.0,95.0,77.5,9.02,1.36442474404862,103.850864037677,Ang Mo Kio MRT,0.63
152330,930000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,32.0,93.0,93.91666666666667,9.39,1.36833017912554,103.858495667837,Ang Mo Kio MRT,1.01
152331,980000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,29.0,93.0,94.83333333333333,9.72,1.37093324079314,103.851940766136,Ang Mo Kio MRT,0.29
152332,860000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,5.0,93.0,94.83333333333333,9.74,1.37122178516983,103.853853154442,Ang Mo Kio MRT,0.5
