_id,resale_price,year,month,year_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,address,dist_to_marina_bay,latitude,longitude,postal_code,nearest_station_0,dist_to_station_0
169187,343000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,5.0,67.0,51.333333333333336,"214, Ang Mo Kio Avenue 3",9.52,1.3672879309092,103.841431473056,560214,Mayflower MRT,0.71
169188,410000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,11.0,67.0,54.416666666666664,"571, Ang Mo Kio Avenue 3",9.6,1.37005501296043,103.85488055876,560571,Ang Mo Kio MRT,0.59
169189,370000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,5.0,67.0,53.75,"126, Ang Mo Kio Avenue 3",9.94,1.37164990020956,103.843644176374,560126,Mayflower MRT,0.79
169190,358000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,2.0,73.0,54.083333333333336,"130, Ang Mo Kio Avenue 3",9.84,1.37039791675237,103.841878840032,560130,Mayflower MRT,0.6
169191,353000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,5.0,67.0,54.416666666666664,"570, Ang Mo Kio Avenue 3",9.56,1.3697435855576,103.856023138277,560570,Ang Mo Kio MRT,0.72
169192,450000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,8.0,82.0,53.75,"127, Ang Mo Kio Avenue 3",9.9,1.37122322102767,103.843593321222,560127,Ang Mo Kio MRT,0.68
169193,440888.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,11.0,73.0,54.083333333333336,"424, Ang Mo Kio Avenue 3",9.48,1.36860660305158,103.850808805402,560424,Ang Mo Kio MRT,0.2
169194,388000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,8.0,67.0,54.333333333333336,"571, Ang Mo Kio Avenue 3",9.6,1.37005501296043,103.85488055876,560571,Ang Mo Kio MRT,0.59
169195,378000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,5.0,67.0,54.416666666666664,"570, Ang Mo Kio Avenue 3",9.56,1.3697435855576,103.856023138277,560570,Ang Mo Kio MRT,0.72
169196,370000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,5.0,67.0,52.25,"201, Ang Mo Kio Avenue 3",9.62,1.36884962699229,103.844564835127,560201,Ang Mo Kio MRT,0.57
169197,398000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,2.0,67.0,54.333333333333336,"571, Ang Mo Kio Avenue 3",9.6,1.37005501296043,103.85488055876,560571,Ang Mo Kio MRT,0.59
169198,415000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,5.0,74.0,53.416666666666664,"107, Ang Mo Kio Avenue 4",10.07,1.37138400081003,103.837381409794,560107,Mayflower MRT,0.09
169199,430000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,8.0,73.0,52.583333333333336,"256, Ang Mo Kio Avenue 4",10.03,1.37061517595951,103.83596769452,560256,Mayflower MRT,0.12
169200,395000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,2.0,69.0,55.833333333333336,"163, Ang Mo Kio Avenue 4",10.28,1.37354853919927,103.838176471398,560163,Mayflower MRT,0.29
169201,385888.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,11.0,68.0,55.916666666666664,"610, Ang Mo Kio Avenue 4",10.88,1.37939470957037,103.839157231326,560610,Yio Chu Kang MRT,0.7
169202,380000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,8.0,68.0,56.416666666666664,"156, Ang Mo Kio Avenue 4",10.44,1.37549519574964,103.839947470774,560156,Mayflower MRT,0.58
169203,388888.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,8.0,68.0,56.333333333333336,"181, Ang Mo Kio Avenue 5",10.65,1.37679309896347,103.837142240849,560181,Mayflower MRT,0.59
169204,390000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,5.0,68.0,56.416666666666664,"152, Ang Mo Kio Avenue 5",10.57,1.3766876256746,103.840159506601,560152,Mayflower MRT,0.7
169205,421000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,5.0,82.0,55.5,"606, Ang Mo Kio Avenue 5",10.94,1.37932777238671,103.83673603156,560606,Lentor MRT,0.69
169206,410000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,11.0,68.0,55.583333333333336,"523, Ang Mo Kio Avenue 5",9.94,1.3729419359545,103.852866402032,560523,Ang Mo Kio MRT,0.5
169207,376000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,2.0,67.0,60.083333333333336,"633, Ang Mo Kio Avenue 6",11.01,1.38120608763856,103.842251233005,560633,Yio Chu Kang MRT,0.31
169208,450000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,11.0,75.0,55.916666666666664,"646, Ang Mo Kio Avenue 6",10.78,1.37939517687868,103.843763599411,560646,Yio Chu Kang MRT,0.29
169209,380000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,11.0,67.0,55.416666666666664,"509, Ang Mo Kio Avenue 8",10.09,1.37400086510074,103.850139806283,560509,Ang Mo Kio MRT,0.45
169210,660000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,26.0,68.0,93.16666666666667,"455A, Ang Mo Kio Street 44",9.38,1.36817376241157,103.857520553516,561455,Ang Mo Kio MRT,0.91
169211,565000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,14.0,67.0,91.0,"650, Ang Mo Kio Street 61",10.62,1.37769118043958,103.84274515222,560650,Yio Chu Kang MRT,0.51
169212,485800.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,5.0,88.0,51.333333333333336,"216, Ang Mo Kio Avenue 1",9.4,1.36619678831054,103.841505011903,560216,Mayflower MRT,0.8
169213,600000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,11.0,91.0,57.166666666666664,"334, Ang Mo Kio Avenue 1",8.95,1.36371827871035,103.850980294912,560334,Ang Mo Kio MRT,0.71
169214,510000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,8.0,92.0,54.666666666666664,"415, Ang Mo Kio Avenue 10",9.0,1.36445336562983,103.853655231224,560415,Ang Mo Kio MRT,0.76
169215,462000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,2.0,93.0,55.166666666666664,"534, Ang Mo Kio Avenue 10",10.05,1.37405846295585,103.854168170426,560534,Ang Mo Kio MRT,0.69
169216,486000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,11.0,92.0,54.583333333333336,"471, Ang Mo Kio Avenue 10",8.86,1.36346600647245,103.856702918462,560471,Ang Mo Kio MRT,1.07
169217,490000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,8.0,92.0,54.666666666666664,"415, Ang Mo Kio Avenue 10",9.0,1.36445336562983,103.853655231224,560415,Ang Mo Kio MRT,0.76
169218,518888.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,11.0,92.0,54.666666666666664,"412, Ang Mo Kio Avenue 10",8.91,1.36385512178453,103.855287998999,560412,Ang Mo Kio MRT,0.93
